Code_postal;Nom_commune;INSEE_COM
6000;NICE;6088
6600;ANTIBES;6004
10300;MACEY;10211
12000;DRUELLE;12090
13013;MARSEILLE 13;13213
14000;CAEN;14118
16000;ANGOULEME;16015
17000;LA ROCHELLE;17300
18000;BOURGES;18033
19100;BRIVE LA GAILLARDE;19031
21000;DIJON;21231
22000;ST BRIEUC;22278
24100;BERGERAC;24037
25000;BESANCON;25056
26000;VALENCE;26362
28000;CHARTRES;28085
29000;QUIMPER;29232
29200;BREST;29019
30000;NIMES;30189
31000;TOULOUSE;31555
33000;BORDEAUX;33063
34000;MONTPELLIER;34172
34500;BEZIERS;34032
35000;RENNES;35238
36000;CHATEAUROUX;36044
37000;TOURS;37261
38000;GRENOBLE;38185
42100;ST ETIENNE;42218
42300;ROANNE;42187
43000;LE PUY EN VELAY;43157
44100;NANTES;44109
45000;ORLEANS;45234
46000;CAHORS;46042
47000;AGEN;47001
49000;ANGERS;49007
50100;CHERBOURG EN COTENTIN;50129
51000;CHALONS EN CHAMPAGNE;51108
51100;REIMS;51454
54000;NANCY;54395
56000;VANNES;56260
57070;METZ;57463
59000;LILLE;59350
59300;VALENCIENNES;59606
62200;BOULOGNE SUR MER;62160
63000;CLERMONT FERRAND;63113
64000;PAU;64445
64100;BAYONNE;64102
66000;PERPIGNAN;66136
67000;STRASBOURG;67482
68200;MULHOUSE;68224
69003;LYON 03;69383
71000;MACON;71270
71100;CHALONS SUR SAONE;71076
72000;LE MANS;72181
74000;ANNECY;74010
73000;CHAMBERY;73065
74200;THONON LES BAINS;74281
75013;PARIS 13;75113
75015;PARIS 15;75115
75019;PARIS 19;75119
76000;ROUEN;76540
80000;AMIENS;80021
81000;ALBI;81004
82000;MONTAUBAN;82121
83000;TOULON;83137
84000;AVIGNON;84007
85000;LA ROCHE SUR YON;85191
86000;POITIERS;86194
87000;LIMOGES;87085
89000;AUXERRE;89024
92000;NANTERRE;92050
22300;LANNION;22113
03100;MONTLUCON;03185
05000;GAP;05061